row_index,school_name,n_category,n_grade
447,Appalachian Bible College,Campus,A-
448,Appalachian Bible College,Athletics,D+
449,Appalachian Bible College,Party Scene,NG
450,Appalachian Bible College,Professors,B-
451,Appalachian Bible College,Location,B
452,Appalachian Bible College,Dorms,NG
453,Appalachian Bible College,Campus Food,NG
454,Appalachian Bible College,Student Life,A
455,Appalachian Bible College,Safety,A+
456,Appalachian State University,Academics,B+
457,Appalachian State University,Value,A-
458,Appalachian State University,Diversity,B
459,Appalachian State University,Campus,A
460,Appalachian State University,Athletics,A
461,Appalachian State University,Party Scene,A-
462,Appalachian State University,Professors,A-
463,Appalachian State University,Location,A-
464,Appalachian State University,Dorms,B
465,Appalachian State University,Campus Food,A-
466,Appalachian State University,Student Life,A+
467,Appalachian State University,Safety,B
468,Aquinas College,Academics,B-
469,Aquinas College,Value,B-
470,Aquinas College,Diversity,A-
471,Aquinas College,Campus,B
472,Aquinas College,Athletics,C
473,Aquinas College,Party Scene,C+
474,Aquinas College,Professors,B-
475,Aquinas College,Location,B
476,Aquinas College,Dorms,A-
477,Aquinas College,Campus Food,C
478,Aquinas College,Student Life,C+
479,Aquinas College,Safety,A+
480,Arizona Christian University,Academics,B-
481,Arizona Christian University,Value,C+
482,Arizona Christian University,Diversity,A-
483,Arizona Christian University,Campus,C+
484,Arizona Christian University,Athletics,B-
485,Arizona Christian University,Party Scene,C
486,Arizona Christian University,Professors,C
487,Arizona Christian University,Location,B
488,Arizona Christian University,Dorms,B+
489,Arizona Christian University,Campus Food,C+
490,Arizona Christian University,Student Life,C+
491,Arizona Christian University,Safety,A
492,Arizona State University at Tempe,Academics,A-
493,Arizona State University at Tempe,Value,A-
494,Arizona State University at Tempe,Diversity,A
495,Arizona State University at Tempe,Campus,A
496,Arizona State University at Tempe,Athletics,A+
497,Arizona State University at Tempe,Party Scene,A+
498,Arizona State University at Tempe,Professors,A
499,Arizona State University at Tempe,Location,A
500,Arizona State University at Tempe,Dorms,B
501,Arizona State University at Tempe,Campus Food,A-
502,Arizona State University at Tempe,Student Life,A+
503,Arizona State University at Tempe,Safety,C+
504,Arizona State University at the Downtown Phoenix campus,Academics,B
505,Arizona State University at the Downtown Phoenix campus,Value,A-
506,Arizona State University at the Downtown Phoenix campus,Diversity,A
507,Arizona State University at the Downtown Phoenix campus,Campus,A-
508,Arizona State University at the Downtown Phoenix campus,Athletics,NG
509,Arizona State University at the Downtown Phoenix campus,Party Scene,B+
510,Arizona State University at the Downtown Phoenix campus,Professors,B
511,Arizona State University at the Downtown Phoenix campus,Location,B+
512,Arizona State University at the Downtown Phoenix campus,Dorms,B+
513,Arizona State University at the Downtown Phoenix campus,Campus Food,B+
514,Arizona State University at the Downtown Phoenix campus,Student Life,A
515,Arizona State University at the Downtown Phoenix campus,Safety,B-
516,Arkansas Baptist College,Academics,D
517,Arkansas Baptist College,Value,D
518,Arkansas Baptist College,Diversity,C+
519,Arkansas Baptist College,Campus,NG
520,Arkansas Baptist College,Athletics,C-
521,Arkansas Baptist College,Party Scene,NG
522,Arkansas Baptist College,Professors,C-
523,Arkansas Baptist College,Location,B-
524,Arkansas Baptist College,Dorms,NG
525,Arkansas Baptist College,Campus Food,NG
526,Arkansas Baptist College,Student Life,C-
527,Arkansas Baptist College,Safety,C-
528,Arkansas State University,Academics,B+
529,Arkansas State University,Value,B
530,Arkansas State University,Diversity,A-
531,Arkansas State University,Campus,B+
532,Arkansas State University,Athletics,A
533,Arkansas State University,Party Scene,B
534,Arkansas State University,Professors,B+
535,Arkansas State University,Location,B-
536,Arkansas State University,Dorms,B-
537,Arkansas State University,Campus Food,A-
538,Arkansas State University,Student Life,B+
539,Arkansas State University,Safety,B
540,Arkansas Tech University,Academics,B+
541,Arkansas Tech University,Value,B-
542,Arkansas Tech University,Diversity,B+
543,Arkansas Tech University,Campus,A-
544,Arkansas Tech University,Athletics,B+
545,Arkansas Tech University,Party Scene,C+
546,Arkansas Tech University,Professors,B+
547,Arkansas Tech University,Location,B-
548,Arkansas Tech University,Dorms,B+
549,Arkansas Tech University,Campus Food,A
550,Arkansas Tech University,Student Life,B+
551,Arkansas Tech University,Safety,B
552,Augsburg University,Academics,B
553,Augsburg University,Value,B+
554,Augsburg University,Diversity,A
555,Augsburg University,Campus,C+
556,Augsburg University,Athletics,B-
557,Augsburg University,Party Scene,B+
558,Augsburg University,Professors,B
559,Augsburg University,Location,A
560,Augsburg University,Dorms,B-
561,Augsburg University,Campus Food,C+
562,Augsburg University,Student Life,B+
563,Augsburg University,Safety,B
564,Augustana University,Academics,A-
565,Augustana University,Value,A
566,Augustana University,Diversity,A-
