row_index,school_name,usn_category,usn_rank
363,Boston College,Best Undergraduate Teaching,8
364,Boston College,Best Value Schools,42
365,Boston College,Most Innovative Schools,25
366,Boston College,Top Performers on Social Mobility,259
367,Boston College,Accounting,12
368,Boston College,Finance,7
369,Boston College,First-Year Experiences,13
370,Boston College,Service Learning,4
371,Boston College,Study Abroad,16
372,Boston College,Undergraduate Research/Creative Projects,44
373,Boston University,National Universities,42
374,Boston University,Best Value Schools,47
375,Boston University,Most Innovative Schools,42
376,Boston University,Top Performers on Social Mobility,237
377,Boston University,Best Undergraduate Engineering Programs #11 Biomedical Mechanical,53
378,Boston University,Biomedical,11
379,Boston University,Study Abroad,13
380,Boston University,Undergraduate Research/Creative Projects,37
381,Bowdoin College,National Liberal Arts Colleges,6
382,Bowdoin College,Best Undergraduate Teaching,11
383,Bowdoin College,Best Value Schools,12
384,Bowdoin College,Most Innovative Schools,29
385,Bowdoin College,Top Performers on Social Mobility,145
386,Bowdoin College,First-Year Experiences,11
387,Bowdoin College,Undergraduate Research/Creative Projects,44
388,Boricua College,Top Performers on Social Mobility,25
389,Bowie State University,Top Performers on Social Mobility,80
390,Bowie State University,Historically Black Colleges and Universities,26
391,Bowling Green State University ,National Universities,258
392,Bowling Green State University ,Top Performers on Social Mobility,265
393,Bowling Green State University ,Top Public Schools,126
394,Bradley University ,Regional Universities Midwest,5
395,Bradley University ,Best Colleges for Veterans,3
396,Bradley University ,Best Undergraduate Teaching,11
397,Bradley University ,Best Value Schools,6
398,Bradley University ,Top Performers on Social Mobility,97
399,Bradley University ,Best Undergraduate Engineering Programs,29
400,Brandeis University,National Universities,42
401,Brandeis University,Best Undergraduate Teaching,39
402,Brandeis University,Best Value Schools,43
403,Brandeis University,Most Innovative Schools,58
404,Brandeis University,Top Performers on Social Mobility,191
405,Brandeis University,First-Year Experiences,45
406,Brandeis University,Undergraduate Research/Creative Projects,44
407,Blackburn College,Top Performers on Social Mobility,19
408,Black Hills State University,Top Performers on Social Mobility,97
409,Bloomfield College,Top Performers on Social Mobility,42
410,Bloomsburg University of Pennsylvania,Regional Universities North,121
411,Bloomsburg University of Pennsylvania,Top Performers on Social Mobility,126
412,Bloomsburg University of Pennsylvania,Top Public Schools,41
413,Bluefield College,Regional Colleges South,59
414,Bluefield College,Top Performers on Social Mobility,84
415,Bluefield State College,Regional Colleges South,50
416,Bluefield State College,Top Performers on Social Mobility,30
417,Bluefield State College,Top Public Schools,14
418,Bluefield State College,Historically Black Colleges and Universities,54
419,Blue Mountain College,Regional Colleges South,14
420,Blue Mountain College,Best Value Schools,3
421,Blue Mountain College,Top Performers on Social Mobility,40
422,Bluffton University,Regional Colleges Midwest,28
423,Bluffton University,Best Value Schools,18
424,Bluffton University,Top Performers on Social Mobility,13
425,Bob Jones University,Regional Universities South,33
426,Bob Jones University,Best Value Schools,2
427,Bob Jones University,Top Performers on Social Mobility,6
428,Bethany Lutheran College,Top Performers on Social Mobility,81
429,Bethel College ,Regional Colleges Midwest,26
430,Bethel College ,Best Undergraduate Teaching,11
431,Bethel College ,Best Value Schools,31
432,Bethel College ,Top Performers on Social Mobility,38
433,Bethel University,Regional Universities Midwest,33
434,Bethel University,Top Performers on Social Mobility,5
435,Bethel University,National Universities,196
436,Bethel University,Best Undergraduate Teaching,55
437,Bethel University,Top Performers on Social Mobility,174
438,Bethel University,Top Performers on Social Mobility,80
439,Bethune-Cookman University,Top Performers on Social Mobility,29
440,Bethune-Cookman University,Historically Black Colleges and Universities,44
441,Bethune-Cookman University,Best Undergraduate Engineering Programs,204
442,Biola University ,National Universities,187
443,Biola University ,Best Colleges for Veterans,136
444,Biola University ,Best Undergraduate Teaching,39
445,Biola University ,Best Value Schools,79
446,Biola University ,Top Performers on Social Mobility,98
447,Biola University ,First-Year Experiences,27
448,Birmingham-Southern College,National Liberal Arts Colleges,130
449,Birmingham-Southern College,Top Performers on Social Mobility,215
450,Brenau University,Regional Universities South,36
451,Brenau University,Best Colleges for Veterans,21
452,Brenau University,Best Value Schools,35
453,Brenau University,Top Performers on Social Mobility,18
454,Brescia University,Regional Colleges South,33
455,Brescia University,Best Value Schools,12
456,Brescia University,Top Performers on Social Mobility,83
457,Brevard College,Regional Colleges South,24
458,Brevard College,Best Undergraduate Teaching,1
459,Brevard College,Best Value Schools,21
460,Brevard College,Top Performers on Social Mobility,85
461,Brewton-Parker College,Top Performers on Social Mobility,141
462,Briar Cliff University,Regional Colleges Midwest,34
463,Briar Cliff University,Best Colleges for Veterans,4
464,Briar Cliff University,Best Undergraduate Teaching,8
465,Briar Cliff University,Most Innovative Schools,8
466,Briar Cliff University,Top Performers on Social Mobility,31
467,Bridgewater College,Top Performers on Social Mobility,145
468,Bridgewater State University,Regional Universities North,105
469,Bridgewater State University,Top Performers on Social Mobility,80
470,Bridgewater State University,Top Public Schools,32
471,Brigham Young University-Hawaii,Regional Colleges West,10
472,Brigham Young University-Hawaii,Top Performers on Social Mobility,29
473,Brigham Young University-Idaho,National Universities,80
474,Brigham Young University-Idaho,Best Undergraduate Teaching,55
475,Brigham Young University-Idaho,Best Value Schools,11
476,Brigham Young University-Idaho,Top Performers on Social Mobility,318
477,Brigham Young University-Idaho,Accounting,2
478,Brigham Young University-Idaho,Best Undergraduate Engineering Programs,90
479,Brown University,National Universities,14
480,Brown University,Best Colleges for Veterans,3
481,Brown University,Best Undergraduate Teaching,1
482,Brown University,Best Value Schools,18
